name,gm_rate,zoodex_rating,zoodex_review,gm_review,Zoodex CSAT,GM CSAT,Zoodex Normalized CSAT,GM Normalized CSAT,Final CSAT,Cluster,Class
فست فود عرفان,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
نانوائی علی بابا,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
پیتزا هایدا,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
Yas Food court,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
چلوکباب سماق,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
Sirin fast food,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
kondez fastfood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
Khan Daei Restaurant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
کافه قرمز,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
Zima cafe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
کافه باران,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
Hall and Castle Garden Restaurant Artemis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
Chukouch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
کافه تک,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
کبابی جگرکی آدانا,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
مغازه طیبه امینی رنجبر,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
خانه برگر,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
Tirano Fast Food,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
رستوران لکسون,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
غذا برون بر و آشپزخانه بمانادی,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
رستوران و ساندویچی نارنج,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
Tabeta Pizza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
Mazzeh Sandwich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
کول کاپ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
Madar Restaurant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
رستوران اردیبهشت,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
قهوه,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
فست فود هانی,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
یوتاب فست فود,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
فست فود بهارستان,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
باغ شیرینی روشان,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
رستوران و کباب بناب آذربایجان,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
رستوران یاس کبود,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
رستوران پامچال,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
کره کباب ناردون,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
رستوران اردیبهشت,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
نان داغ کباب داغ حیدربابا,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
قیمه قرمه تهران,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
بریانی نمونه,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
کافه رستوران برکه,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
بیرون بر ملک,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
رستوران سرآشپز,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
جگرکی دلچسب,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
رستوران کد بانو,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
بیرون بر خان,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
بیرون بر چاینیز فود (Chinese Food),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
رستوران سنتی بی بی شریفه,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
رستوران الماس کویر,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
چلو کبابی سیدباقر و پسران,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
نشاط فودسنتر,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
بشقاب طلایی,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
رستوران تارونی,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
کباب سرای سعیدی,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
تهیه غذای پارسی,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
بیرون بر پدر,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
غذا خانگی خاتون,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
کباب بناب آذربایجان,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
رستوران شمرون,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
رستوران دهکده غذا,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
عمارت,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
رستوران گیلدخت,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
کبابی و جگرکی ایستگاه شکم,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
کباب بناب شانلی آذربایجان,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
رستوران سنتی مهر,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
بیرون بر ترنج,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
بیرون بر شبدیز,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
فرش بار (جیم فود سابق),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
صبحانه ستارخان,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
باغچه رستوران هشتگ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
طباخی طهران,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
بیرون بر صاحب الزمان,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
